y2_statefips,y2_countyfips,y1_statefips,y1_countyfips,y1_state,y1_countyname,n1,n2,agi
1,1,1,51,AL,Elmore County,475,935,23050
1,1,1,101,AL,Montgomery County,376,776,21224
1,1,1,47,AL,Dallas County,60,124,2285
1,1,1,21,AL,Chilton County,57,114,2482
1,1,1,73,AL,Jefferson County,45,71,2476
1,1,1,117,AL,Shelby County,32,85,2512
1,1,1,3,AL,Baldwin County,26,62,2443
1,1,1,123,AL,Tallapoosa County,20,36,710
1,3,1,97,AL,Mobile County,996,1821,73969
1,3,12,33,FL,Escambia County,456,841,25977
1,3,1,73,AL,Jefferson County,193,342,17847
1,3,1,117,AL,Shelby County,137,265,14296
1,3,12,113,FL,Santa Rosa County,103,196,12142
1,3,1,125,AL,Tuscaloosa County,92,174,8012
1,3,1,89,AL,Madison County,84,145,9425
1,3,1,53,AL,Escambia County,75,158,3402
1,3,1,101,AL,Montgomery County,74,123,8441
1,3,47,157,TN,Shelby County,58,101,5478
1,3,1,81,AL,Lee County,56,86,3401
1,3,1,99,AL,Monroe County,53,103,3589
1,3,28,47,MS,Harrison County,53,94,2722
1,3,12,91,FL,Okaloosa County,51,100,4332
1,3,1,51,AL,Elmore County,49,100,3324
1,3,28,59,MS,Jackson County,47,82,4662
1,3,1,115,AL,St. Clair County,45,93,3648
1,3,4,13,AZ,Maricopa County,45,82,3821
1,3,13,67,GA,Cobb County,45,88,7779
1,3,47,37,TN,Davidson County,44,79,6486
1,3,48,201,TX,Harris County,43,74,5932
1,3,22,103,LA,St. Tammany Parish,42,77,5296
1,3,12,11,FL,Broward County,41,71,3118
1,3,13,121,GA,Fulton County,38,61,5179
1,3,22,51,LA,Jefferson Parish,38,70,2930
1,3,13,135,GA,Gwinnett County,37,76,3864
1,3,1,55,AL,Etowah County,36,74,1794
1,3,17,31,IL,Cook County,36,59,2784
1,3,6,73,CA,San Diego County,35,68,4603
1,3,1,1,AL,Autauga County,34,63,2101
1,3,6,37,CA,Los Angeles County,32,54,2223
1,3,1,15,AL,Calhoun County,31,53,1434
1,3,6,65,CA,Riverside County,31,60,3359
1,3,12,95,FL,Orange County,31,56,2532
1,3,1,103,AL,Morgan County,30,53,2058
1,3,22,71,LA,Orleans Parish,30,41,3607
1,3,12,31,FL,Duval County,28,46,1155
1,3,1,25,AL,Clarke County,27,49,2179
1,3,12,5,FL,Bay County,27,48,2398
1,3,48,121,TX,Denton County,26,54,3294
1,3,1,69,AL,Houston County,25,53,1753
1,3,22,33,LA,East Baton Rouge Parish,25,42,2784
1,3,1,121,AL,Talladega County,24,42,1443
1,3,8,59,CO,Jefferson County,24,40,2330
1,3,48,85,TX,Collin County,24,53,4114
1,3,48,439,TX,Tarrant County,24,46,2225
1,3,1,21,AL,Chilton County,23,47,2346
1,3,1,95,AL,Marshall County,23,47,2449
1,3,47,187,TN,Williamson County,23,45,2336
1,3,48,29,TX,Bexar County,23,48,1920
1,3,1,77,AL,Lauderdale County,22,49,2084
1,3,8,41,CO,El Paso County,22,46,1466
1,3,12,57,FL,Hillsborough County,22,43,1684
1,3,47,149,TN,Rutherford County,22,44,1777
1,3,12,103,FL,Pinellas County,21,51,1166
1,3,13,57,GA,Cherokee County,21,43,2816
1,3,13,223,GA,Paulding County,21,34,1199
1,3,1,83,AL,Limestone County,20,37,1889
1,3,1,127,AL,Walker County,20,38,1840
1,3,13,77,GA,Coweta County,20,38,2036
1,3,47,165,TN,Sumner County,20,42,1651
1,5,1,67,AL,Henry County,36,77,1050
1,5,1,69,AL,Houston County,30,58,960
1,5,1,45,AL,Dale County,21,36,672
1,5,13,239,GA,Quitman County,21,37,658
1,7,1,125,AL,Tuscaloosa County,124,245,6138
1,7,1,73,AL,Jefferson County,86,156,4128
1,7,1,117,AL,Shelby County,60,100,3335
1,7,1,21,AL,Chilton County,22,45,879
1,9,1,73,AL,Jefferson County,501,1034,27744
1,9,1,43,AL,Cullman County,105,202,4534
1,9,1,95,AL,Marshall County,86,190,3629
1,9,1,115,AL,St. Clair County,83,160,4120
1,9,1,55,AL,Etowah County,68,133,2045
1,9,1,117,AL,Shelby County,63,112,3622
1,9,1,127,AL,Walker County,39,76,1913
1,9,1,89,AL,Madison County,29,62,2003
1,9,1,103,AL,Morgan County,20,32,720
1,11,1,101,AL,Montgomery County,25,54,800
1,13,1,101,AL,Montgomery County,40,80,1736
1,13,1,41,AL,Crenshaw County,35,70,1057
1,15,1,121,AL,Talladega County,408,828,17543
1,15,1,55,AL,Etowah County,207,402,7758
1,15,1,73,AL,Jefferson County,116,203,5053
1,15,1,115,AL,St. Clair County,109,190,4473
1,15,1,29,AL,Cleburne County,81,165,3191
1,15,1,19,AL,Cherokee County,58,118,2137
1,15,1,27,AL,Clay County,51,89,1523
1,15,1,117,AL,Shelby County,48,80,2824
1,15,1,111,AL,Randolph County,46,80,2214
1,15,1,89,AL,Madison County,41,66,2920
1,15,13,223,GA,Paulding County,35,79,1651
1,15,1,95,AL,Marshall County,30,58,1366
1,15,13,45,GA,Carroll County,28,77,1138
1,15,1,49,AL,DeKalb County,23,43,423
1,15,1,81,AL,Lee County,22,39,1273
1,15,13,67,GA,Cobb County,20,29,928
1,15,13,115,GA,Floyd County,20,46,761
1,17,1,81,AL,Lee County,234,450,11359
1,17,13,285,GA,Troup County,141,290,5734
1,17,1,111,AL,Randolph County,36,74,1119
1,19,13,115,GA,Floyd County,89,160,5713
1,19,1,55,AL,Etowah County,71,130,3065
1,19,1,49,AL,DeKalb County,62,138,2884
1,19,1,15,AL,Calhoun County,58,115,2571
1,19,13,55,GA,Chattooga County,26,62,964
1,19,13,223,GA,Paulding County,26,70,1919
1,19,13,233,GA,Polk County,22,46,1474
1,21,1,117,AL,Shelby County,341,713,16581
1,21,1,73,AL,Jefferson County,87,160,4019
1,21,1,1,AL,Autauga County,78,183,3232
1,21,1,7,AL,Bibb County,50,115,1901
1,21,1,51,AL,Elmore County,40,68,1711
1,21,1,101,AL,Montgomery County,25,47,1242
1,21,1,125,AL,Tuscaloosa County,24,41,1056
1,25,1,97,AL,Mobile County,41,71,1370
1,25,1,129,AL,Washington County,31,61,1606
1,25,1,131,AL,Wilcox County,31,65,995
1,25,1,91,AL,Marengo County,27,53,1264
1,27,1,121,AL,Talladega County,51,106,2057
1,27,1,111,AL,Randolph County,30,69,1377
1,27,1,123,AL,Tallapoosa County,26,46,716
1,27,1,15,AL,Calhoun County,21,35,618
1,29,13,45,GA,Carroll County,87,193,4139
1,29,1,15,AL,Calhoun County,75,144,4019
1,29,13,143,GA,Haralson County,40,95,1787
1,29,1,111,AL,Randolph County,24,47,1057
1,31,1,45,AL,Dale County,317,708,17136
1,31,1,69,AL,Houston County,105,210,4205
1,31,1,61,AL,Geneva County,81,163,3526
1,31,1,39,AL,Covington County,70,136,2170
1,31,1,109,AL,Pike County,69,131,3233
1,31,8,41,CO,El Paso County,35,91,2469
1,31,47,125,TN,Montgomery County,28,66,1590
1,31,48,141,TX,El Paso County,25,70,2260
1,31,12,5,FL,Bay County,22,42,968
1,31,12,91,FL,Okaloosa County,22,50,1373
1,33,1,77,AL,Lauderdale County,508,934,20821
1,33,1,59,AL,Franklin County,167,325,7810
1,33,1,79,AL,Lawrence County,50,109,2069
1,33,1,89,AL,Madison County,49,89,4526
1,33,1,103,AL,Morgan County,34,49,2013
1,33,1,83,AL,Limestone County,22,39,961
1,35,1,53,AL,Escambia County,35,71,1742
1,35,1,99,AL,Monroe County,34,72,1223
1,37,1,123,AL,Tallapoosa County,65,141,2123
1,37,1,121,AL,Talladega County,64,118,2757
1,39,12,91,FL,Okaloosa County,65,138,3107
1,39,1,31,AL,Coffee County,54,106,3183
1,39,12,131,FL,Walton County,37,93,1628
1,39,1,41,AL,Crenshaw County,33,70,1087
1,39,12,33,FL,Escambia County,31,56,1368
1,39,12,113,FL,Santa Rosa County,25,54,1258
1,39,1,61,AL,Geneva County,21,47,595
1,39,1,69,AL,Houston County,20,41,714
1,41,1,109,AL,Pike County,53,102,1863
1,41,1,101,AL,Montgomery County,46,91,5842
1,41,1,39,AL,Covington County,32,61,948
1,41,1,13,AL,Butler County,29,62,929
1,41,1,31,AL,Coffee County,25,59,1242
1,43,1,73,AL,Jefferson County,229,443,19343
1,43,1,103,AL,Morgan County,216,442,10414
1,43,1,9,AL,Blount County,150,331,7561
1,43,1,95,AL,Marshall County,131,282,4908
1,43,1,89,AL,Madison County,117,226,12437
1,43,1,127,AL,Walker County,63,117,3264
1,43,1,133,AL,Winston County,62,126,2816
1,43,1,117,AL,Shelby County,53,103,3476
1,43,1,83,AL,Limestone County,32,65,2373
1,43,1,3,AL,Baldwin County,28,53,2117
1,43,1,115,AL,St. Clair County,20,39,1440
1,43,1,125,AL,Tuscaloosa County,20,37,633
1,45,1,69,AL,Houston County,387,823,17354
1,45,1,31,AL,Coffee County,280,577,11946
